S.no,District,Transaction_count,Transaction_amount,Quarter,Year,State
13933,meerut district,3739519,8114325790,3,2020,uttar-pradesh
13934,mathura district,1884033,3776128656,3,2020,uttar-pradesh
13935,chitrakoot district,238568,499890761.3,3,2020,uttar-pradesh
13936,lalitpur district,468063,938535589.1,3,2020,uttar-pradesh
13937,mau district,738346,1451336941,3,2020,uttar-pradesh
13938,mirzapur district,846288,1674284507,3,2020,uttar-pradesh
13939,bulandshahr district,1846812,3453106820,3,2020,uttar-pradesh
13940,gonda district,929086,2294714945,3,2020,uttar-pradesh
13941,jhansi district,1597393,3459281322,3,2020,uttar-pradesh
13942,chandauli district,822442,1603810974,3,2020,uttar-pradesh
13943,bhadohi district,660851,1109214852,3,2020,uttar-pradesh
13944,pratapgarh district,1080871,2106097259,3,2020,uttar-pradesh
13945,saharanpur district,1946572,4188524778,3,2020,uttar-pradesh
13946,bara banki district,765264,1376084584,3,2020,uttar-pradesh
13947,bareilly district,1969627,4024948735,3,2020,uttar-pradesh
13948,sitapur district,709016,1279114973,3,2020,uttar-pradesh
13949,sultanpur district,868946,1621486346,3,2020,uttar-pradesh
13950,agra district,3402430,6647928319,3,2020,uttar-pradesh
13951,fatehpur district,540614,1011847023,3,2020,uttar-pradesh
13952,rae bareli district,704574,1358245105,3,2020,uttar-pradesh
13953,firozabad district,994544,2000595717,3,2020,uttar-pradesh
13954,kheri district,821731,1380068813,3,2020,uttar-pradesh
13955,gorakhpur district,3197317,7043485657,3,2020,uttar-pradesh
13956,unnao district,748311,1297050484,3,2020,uttar-pradesh
13957,prayagraj district,4424797,8784004361,3,2020,uttar-pradesh
13958,sonbhadra district,979144,2022490422,3,2020,uttar-pradesh
13959,ghazipur district,1489295,3197790518,3,2020,uttar-pradesh
13960,farrukhabad district,586393,1168025441,3,2020,uttar-pradesh
13961,kannauj district,470383,910394471.9,3,2020,uttar-pradesh
13962,azamgarh district,1562684,3106122637,3,2020,uttar-pradesh
13963,ayodhya district,1148182,2402945903,3,2020,uttar-pradesh
13964,deoria district,1661831,3351809694,3,2020,uttar-pradesh
13965,ghaziabad district,10353511,16722698683,3,2020,uttar-pradesh
13966,amethi district,929052,2047805667,4,2020,uttar-pradesh
13967,siddharthnagar district,1203287,3197534025,4,2020,uttar-pradesh
13968,auraiya district,785790,1729982239,4,2020,uttar-pradesh
13969,sambhal district,658894,1763324002,4,2020,uttar-pradesh
13970,kanpur nagar district,6052576,12308345529,4,2020,uttar-pradesh
13971,aligarh district,3179237,6659603398,4,2020,uttar-pradesh
13972,mahoba district,338467,757396455.1,4,2020,uttar-pradesh
13973,lucknow district,21791125,48660862848,4,2020,uttar-pradesh
13974,sant kabeer nagar district,853964,2328509655,4,2020,uttar-pradesh
13975,hathras district,900053,1975427286,4,2020,uttar-pradesh
13976,budaun district,808394,1832450359,4,2020,uttar-pradesh
13977,moradabad district,1837124,4509684341,4,2020,uttar-pradesh
13978,kushinagar district,2544134,6177451132,4,2020,uttar-pradesh
13979,baghpat district,1274090,2735598661,4,2020,uttar-pradesh
13980,shahjahanpur district,921620,1926803593,4,2020,uttar-pradesh
13981,muzaffarnagar district,1855968,4005895165,4,2020,uttar-pradesh
13982,ambedkar nagar district,1059079,2345702080,4,2020,uttar-pradesh
13983,bahraich district,733236,1752928128,4,2020,uttar-pradesh
13984,jalaun district,870463,1960046921,4,2020,uttar-pradesh
13985,rampur district,779375,1897600325,4,2020,uttar-pradesh
13986,ballia district,1983414,4497298603,4,2020,uttar-pradesh
13987,shravasti district,194123,490064811.9,4,2020,uttar-pradesh
13988,kasganj district,475224,1050026273,4,2020,uttar-pradesh
13989,varanasi district,5020393,10194936777,4,2020,uttar-pradesh
13990,gautam buddha nagar district,26875484,32842519367,4,2020,uttar-pradesh
13991,basti district,1397049,3591337509,4,2020,uttar-pradesh
13992,shamli district,770139,1795508885,4,2020,uttar-pradesh
13993,maharajganj district,1269772,3237407092,4,2020,uttar-pradesh
13994,etawah district,976366,2075210863,4,2020,uttar-pradesh
13995,etah district,723860,1621090110,4,2020,uttar-pradesh
13996,banda district,485652,1056554802,4,2020,uttar-pradesh
13997,bijnor district,1671649,3786521732,4,2020,uttar-pradesh
13998,hardoi district,964983,1950295771,4,2020,uttar-pradesh
13999,balrampur district,602659,1743708795,4,2020,uttar-pradesh
14000,amroha district,990643,2370720289,4,2020,uttar-pradesh
14001,pilibhit district,659881,1315633563,4,2020,uttar-pradesh
14002,mainpuri district,835630,1876489036,4,2020,uttar-pradesh
14003,kanpur dehat district,801177,1792856563,4,2020,uttar-pradesh
14004,jaunpur district,2575090,5862550809,4,2020,uttar-pradesh
14005,kaushambi district,426355,999440562.4,4,2020,uttar-pradesh
14006,hapur district,1644740,3136746389,4,2020,uttar-pradesh
14007,hamirpur district,468721,1086787047,4,2020,uttar-pradesh
14008,meerut district,5063989,10705409124,4,2020,uttar-pradesh
14009,mathura district,2894712,6050052875,4,2020,uttar-pradesh
14010,chitrakoot district,325363,767298714.7,4,2020,uttar-pradesh
14011,lalitpur district,657837,1360184222,4,2020,uttar-pradesh
14012,mau district,995516,2271789809,4,2020,uttar-pradesh
14013,mirzapur district,1127365,2523000482,4,2020,uttar-pradesh
14014,bulandshahr district,2689766,5399484707,4,2020,uttar-pradesh
14015,gonda district,1293672,3549030150,4,2020,uttar-pradesh
14016,jhansi district,2406415,5421062227,4,2020,uttar-pradesh
14017,chandauli district,1124617,2422919353,4,2020,uttar-pradesh
14018,bhadohi district,845550,1647815100,4,2020,uttar-pradesh
14019,pratapgarh district,1456324,3283398763,4,2020,uttar-pradesh
14020,saharanpur district,2800641,6239011550,4,2020,uttar-pradesh
14021,bara banki district,1043324,2086953000,4,2020,uttar-pradesh
14022,bareilly district,2825946,6085882467,4,2020,uttar-pradesh
14023,sitapur district,944455,1884569095,4,2020,uttar-pradesh
14024,sultanpur district,1164282,2593915075,4,2020,uttar-pradesh
14025,agra district,5121332,10378549355,4,2020,uttar-pradesh
14026,fatehpur district,721429,1605703312,4,2020,uttar-pradesh
14027,rae bareli district,949686,2094791839,4,2020,uttar-pradesh
14028,firozabad district,1433503,3064998560,4,2020,uttar-pradesh
14029,kheri district,1112322,2108209768,4,2020,uttar-pradesh
14030,gorakhpur district,4537853,10798676242,4,2020,uttar-pradesh
14031,unnao district,1021144,2072417707,4,2020,uttar-pradesh
14032,prayagraj district,6423026,12760082971,4,2020,uttar-pradesh
14033,sonbhadra district,1375197,3033686642,4,2020,uttar-pradesh
14034,ghazipur district,1956174,4725819574,4,2020,uttar-pradesh
14035,farrukhabad district,831323,1765789379,4,2020,uttar-pradesh
14036,kannauj district,639599,1379451057,4,2020,uttar-pradesh
14037,azamgarh district,2036037,4814095317,4,2020,uttar-pradesh
14038,ayodhya district,1547673,3524811463,4,2020,uttar-pradesh
14039,deoria district,2392279,5497955867,4,2020,uttar-pradesh
14040,ghaziabad district,15220234,24565353557,4,2020,uttar-pradesh
14041,amethi district,877998,2019421036,1,2021,uttar-pradesh
14042,siddharthnagar district,1151889,3465239203,1,2021,uttar-pradesh
14043,auraiya district,769110,1728417436,1,2021,uttar-pradesh
14044,sambhal district,713188,2096832821,1,2021,uttar-pradesh
14045,kanpur nagar district,6948497,13274223178,1,2021,uttar-pradesh
14046,aligarh district,3639658,7418381922,1,2021,uttar-pradesh
14047,mahoba district,330542,797978338.2,1,2021,uttar-pradesh
14048,lucknow district,35616880,66268662303,1,2021,uttar-pradesh
14049,sant kabeer nagar district,785067,2292341220,1,2021,uttar-pradesh
14050,hathras district,904106,2007237612,1,2021,uttar-pradesh
14051,budaun district,860365,2064814361,1,2021,uttar-pradesh
14052,moradabad district,2141475,5315834860,1,2021,uttar-pradesh
14053,kushinagar district,2430660,6154525834,1,2021,uttar-pradesh
14054,baghpat district,1269717,2815148601,1,2021,uttar-pradesh
14055,shahjahanpur district,942125,2093378695,1,2021,uttar-pradesh
14056,muzaffarnagar district,2056338,4554139218,1,2021,uttar-pradesh
14057,ambedkar nagar district,973066,2270163374,1,2021,uttar-pradesh
14058,bahraich district,753675,1975803619,1,2021,uttar-pradesh
14059,jalaun district,838073,1971780174,1,2021,uttar-pradesh
14060,rampur district,860337,2233156798,1,2021,uttar-pradesh
14061,ballia district,1812583,4179409524,1,2021,uttar-pradesh
14062,shravasti district,192450,539637266.8,1,2021,uttar-pradesh
14063,kasganj district,494513,1147686149,1,2021,uttar-pradesh
14064,varanasi district,5807048,10950765767,1,2021,uttar-pradesh
14065,gautam buddha nagar district,31352951,37748670525,1,2021,uttar-pradesh
14066,basti district,1317427,3736440481,1,2021,uttar-pradesh
14067,shamli district,813526,1983208486,1,2021,uttar-pradesh
14068,maharajganj district,1226115,3416557865,1,2021,uttar-pradesh
14069,etawah district,1056534,2208046406,1,2021,uttar-pradesh
14070,etah district,752911,1763562813,1,2021,uttar-pradesh
14071,banda district,478856,1080201355,1,2021,uttar-pradesh
14072,bijnor district,1776010,4258199700,1,2021,uttar-pradesh
14073,hardoi district,928482,2045360767,1,2021,uttar-pradesh
14074,balrampur district,585060,1872826652,1,2021,uttar-pradesh
14075,amroha district,1070707,2714682986,1,2021,uttar-pradesh
14076,pilibhit district,690076,1485572502,1,2021,uttar-pradesh
14077,mainpuri district,879113,2088080639,1,2021,uttar-pradesh
14078,kanpur dehat district,786955,1844894491,1,2021,uttar-pradesh
14079,jaunpur district,2218994,5134456266,1,2021,uttar-pradesh
14080,kaushambi district,427365,1039916139,1,2021,uttar-pradesh
14081,hapur district,1787385,3374025882,1,2021,uttar-pradesh
14082,hamirpur district,448033,1082453708,1,2021,uttar-pradesh
14083,meerut district,6883062,13712809243,1,2021,uttar-pradesh
14084,mathura district,3300059,6630958777,1,2021,uttar-pradesh
14085,chitrakoot district,305595,774496740.4,1,2021,uttar-pradesh
14086,lalitpur district,715812,1451266509,1,2021,uttar-pradesh
14087,mau district,885573,2070273660,1,2021,uttar-pradesh
14088,mirzapur district,1069333,2624527845,1,2021,uttar-pradesh
14089,bulandshahr district,2844618,5734398738,1,2021,uttar-pradesh
14090,gonda district,1238540,3632237998,1,2021,uttar-pradesh
14091,jhansi district,2604380,5548819990,1,2021,uttar-pradesh
14092,chandauli district,1072974,2447762421,1,2021,uttar-pradesh
14093,bhadohi district,740300,1518741542,1,2021,uttar-pradesh
14094,pratapgarh district,1348590,3070050052,1,2021,uttar-pradesh
14095,saharanpur district,3177302,7147730126,1,2021,uttar-pradesh
14096,bara banki district,1080613,2239233918,1,2021,uttar-pradesh
14097,bareilly district,3013200,6487088452,1,2021,uttar-pradesh
14098,sitapur district,983750,2091781557,1,2021,uttar-pradesh
14099,sultanpur district,1072868,2443671437,1,2021,uttar-pradesh
14100,agra district,5773733,11198658827,1,2021,uttar-pradesh
14101,fatehpur district,707603,1636407067,1,2021,uttar-pradesh
14102,rae bareli district,955313,2124119308,1,2021,uttar-pradesh
14103,firozabad district,1522752,3283806271,1,2021,uttar-pradesh
14104,kheri district,1095771,2220238734,1,2021,uttar-pradesh
14105,gorakhpur district,4804502,10959348579,1,2021,uttar-pradesh
14106,unnao district,948502,2012532903,1,2021,uttar-pradesh
14107,prayagraj district,7886986,14358916730,1,2021,uttar-pradesh
14108,sonbhadra district,1364012,3198874051,1,2021,uttar-pradesh
14109,ghazipur district,1811693,4421012962,1,2021,uttar-pradesh
14110,farrukhabad district,860342,1865618375,1,2021,uttar-pradesh
14111,kannauj district,666139,1477658099,1,2021,uttar-pradesh
14112,azamgarh district,1797181,4355952038,1,2021,uttar-pradesh
14113,ayodhya district,1655673,3705175548,1,2021,uttar-pradesh
14114,deoria district,2146841,4966425528,1,2021,uttar-pradesh
14115,ghaziabad district,16400075,26364856584,1,2021,uttar-pradesh
14116,amethi district,1291021,2832735536,2,2021,uttar-pradesh
14117,siddharthnagar district,1771043,5238148010,2,2021,uttar-pradesh
14118,auraiya district,1059958,2271182443,2,2021,uttar-pradesh
14119,sambhal district,950489,2603854883,2,2021,uttar-pradesh
14120,kanpur nagar district,7585841,14935346898,2,2021,uttar-pradesh
14121,aligarh district,4566809,9169523755,2,2021,uttar-pradesh
14122,mahoba district,475867,1122285761,2,2021,uttar-pradesh
14123,lucknow district,41241215,78447443138,2,2021,uttar-pradesh
14124,sant kabeer nagar district,1131079,3117195181,2,2021,uttar-pradesh
14125,hathras district,1233619,2575616559,2,2021,uttar-pradesh
14126,budaun district,1191301,2835775507,2,2021,uttar-pradesh
14127,moradabad district,2635770,6178755186,2,2021,uttar-pradesh
14128,kushinagar district,3460610,8429294861,2,2021,uttar-pradesh
14129,baghpat district,1615699,3316713348,2,2021,uttar-pradesh
14130,shahjahanpur district,1219746,2649333007,2,2021,uttar-pradesh
14131,muzaffarnagar district,2598478,5313834602,2,2021,uttar-pradesh
14132,ambedkar nagar district,1395101,3153326971,2,2021,uttar-pradesh
14133,bahraich district,979428,2471432397,2,2021,uttar-pradesh
14134,jalaun district,1201881,2794963213,2,2021,uttar-pradesh
14135,rampur district,1178718,2785287278,2,2021,uttar-pradesh
14136,ballia district,2697371,6275453286,2,2021,uttar-pradesh
14137,shravasti district,256597,691032815.5,2,2021,uttar-pradesh
14138,kasganj district,733957,1665220090,2,2021,uttar-pradesh
14139,varanasi district,6220925,12596441737,2,2021,uttar-pradesh
14140,gautam buddha nagar district,29169349,37072547540,2,2021,uttar-pradesh
14141,basti district,1918966,5115399591,2,2021,uttar-pradesh
14142,shamli district,1072971,2401068642,2,2021,uttar-pradesh
14143,maharajganj district,1721504,4527845152,2,2021,uttar-pradesh
14144,etawah district,1408727,2954500857,2,2021,uttar-pradesh
14145,etah district,1059378,2358179714,2,2021,uttar-pradesh
14146,banda district,666585,1534671517,2,2021,uttar-pradesh
14147,bijnor district,2371176,5226002636,2,2021,uttar-pradesh
14148,hardoi district,1291751,2807238924,2,2021,uttar-pradesh
14149,balrampur district,876332,2832035100,2,2021,uttar-pradesh
14150,amroha district,1436225,3484451693,2,2021,uttar-pradesh
14151,pilibhit district,862297,1858665233,2,2021,uttar-pradesh
14152,mainpuri district,1262286,2847133297,2,2021,uttar-pradesh
14153,kanpur dehat district,1063446,2345874311,2,2021,uttar-pradesh
14154,jaunpur district,3527787,8346542710,2,2021,uttar-pradesh
14155,kaushambi district,599546,1363345221,2,2021,uttar-pradesh
14156,hapur district,2140953,3877150518,2,2021,uttar-pradesh
14157,hamirpur district,625781,1561116989,2,2021,uttar-pradesh
14158,meerut district,8599202,16511763500,2,2021,uttar-pradesh
14159,mathura district,3781704,7820282308,2,2021,uttar-pradesh
14160,chitrakoot district,419599,1035222412,2,2021,uttar-pradesh
14161,lalitpur district,896705,1901077448,2,2021,uttar-pradesh
14162,mau district,1368848,3198341071,2,2021,uttar-pradesh
14163,mirzapur district,1444919,3465894982,2,2021,uttar-pradesh
14164,bulandshahr district,3724506,7163334353,2,2021,uttar-pradesh
14165,gonda district,1653720,4916193447,2,2021,uttar-pradesh
14166,jhansi district,2982163,6619698982,2,2021,uttar-pradesh
14167,chandauli district,1443308,3271412185,2,2021,uttar-pradesh
14168,bhadohi district,1129475,2282034125,2,2021,uttar-pradesh
14169,pratapgarh district,2122304,4688141698,2,2021,uttar-pradesh
14170,saharanpur district,3974722,8397866311,2,2021,uttar-pradesh
14171,bara banki district,1320689,2653152867,2,2021,uttar-pradesh
14172,bareilly district,3642839,7772801500,2,2021,uttar-pradesh
14173,sitapur district,1217768,2551042837,2,2021,uttar-pradesh
14174,sultanpur district,1560506,3446743839,2,2021,uttar-pradesh
14175,agra district,6542679,12895519153,2,2021,uttar-pradesh
14176,fatehpur district,1010271,2222238217,2,2021,uttar-pradesh
14177,rae bareli district,1273154,2743834773,2,2021,uttar-pradesh
14178,firozabad district,1991790,4210273416,2,2021,uttar-pradesh
14179,kheri district,1324392,2724984051,2,2021,uttar-pradesh
14180,gorakhpur district,5995988,13762240585,2,2021,uttar-pradesh
14181,unnao district,1265296,2629057685,2,2021,uttar-pradesh
14182,prayagraj district,8039353,15903938690,2,2021,uttar-pradesh
14183,sonbhadra district,1762236,3894345602,2,2021,uttar-pradesh
14184,ghazipur district,2732309,6649631900,2,2021,uttar-pradesh
14185,farrukhabad district,1169320,2422980480,2,2021,uttar-pradesh
14186,kannauj district,922056,1960303336,2,2021,uttar-pradesh
14187,azamgarh district,2801633,6746447550,2,2021,uttar-pradesh
14188,ayodhya district,2136111,4668997702,2,2021,uttar-pradesh
14189,deoria district,3134141,7292191608,2,2021,uttar-pradesh
14190,ghaziabad district,16797842,27766534443,2,2021,uttar-pradesh
14191,amethi district,1432987,2991984024,3,2021,uttar-pradesh
14192,siddharthnagar district,1900350,4989701190,3,2021,uttar-pradesh
